{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.2},current price: 488.7717, prediction: 487.73419189453125,real prediction : 524.475
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.3},current price: 524.475, prediction: 440.4425964355469,real prediction : 569.3767
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.1},current price: 328.7740000000001, prediction: 365.2609558105469,real prediction : 329.886
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.2},current price: 476.3775000000001, prediction: 521.2611083984375,real prediction : 476.0013
{'coin': 'bitcoin', 'test_num': 0, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.3},current price: 379.489, prediction: 361.2403869628906,real prediction : 374.103
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.1},current price: 375.9887999999999, prediction: 620.1089477539062,real prediction : 387.3512999999999
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.2},current price: 452.505, prediction: 457.7197570800781,real prediction : 439.19
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.3},current price: 327.8813, prediction: 490.5753173828125,real prediction : 328.73
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.1},current price: 396.62, prediction: 653.4812622070312,real prediction : 433.7512999999999
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.2},current price: 232.898, prediction: 460.1361999511719,real prediction : 253.8388999999999
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.3},current price: 620.16, prediction: 673.8899536132812,real prediction : 630.8350000000002
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.1},current price: 637.7549999999999, prediction: 516.0725708007812,real prediction : 648.1075000000002
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.2},current price: 590.9072702245192, prediction: 582.1571044921875,real prediction : 588.5004825541756
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.3},current price: 309.765, prediction: 446.14617919921875,real prediction : 328.7740000000001
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.1},current price: 444.2133, prediction: 471.68377685546875,real prediction : 483.4167
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.2},current price: 322.194, prediction: 503.59588623046875,real prediction : 327.7169708710151
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.3},current price: 585.5731940766995, prediction: 512.1785888671875,real prediction : 582.4186267649761
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.1},current price: 487.525, prediction: 471.08734130859375,real prediction : 458.8067
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.2},current price: 398.0074999999999, prediction: 469.8414001464844,real prediction : 373.0888
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.3},current price: 327.8813, prediction: 368.55633544921875,real prediction : 328.73
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.1},current price: 571.5533, prediction: 576.126953125,real prediction : 621.1467
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.2},current price: 648.1075000000002, prediction: 526.981689453125,real prediction : 627.1288
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.3},current price: 384.9, prediction: 346.0071105957031,real prediction : 376.7883
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.1},current price: 626.1763000000001, prediction: 569.7538452148438,real prediction : 619.9088000000002
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.2},current price: 318.828, prediction: 434.1573791503906,real prediction : 317.54
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.3},current price: 285.3738000000001, prediction: 362.7479553222656,real prediction : 284.4525
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.1},current price: 218.0233, prediction: 350.9877014160156,real prediction : 240.0193
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.2},current price: 376.951, prediction: 444.86224365234375,real prediction : 376.472
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.3},current price: 523.1083, prediction: 475.5045471191406,real prediction : 579.6217
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.1},current price: 313.9920000000001, prediction: 395.207763671875,real prediction : 286.57199999999995
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.2},current price: 434.0333, prediction: 460.8380432128906,real prediction : 429.0761
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.3},current price: 480.0262999999999, prediction: 551.4038696289062,real prediction : 474.6938
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.1},current price: 585.5731940766995, prediction: 621.4454956054688,real prediction : 582.4186267649761
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.2},current price: 626.1763000000001, prediction: 651.0667724609375,real prediction : 619.9088000000002
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.3},current price: 489.5475000000001, prediction: 527.9336547851562,real prediction : 482.3588
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.1},current price: 436.2833, prediction: 463.30352783203125,real prediction : 437.305
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.2},current price: 473.0313, prediction: 462.2704162597656,real prediction : 454.6238000000001
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.3},current price: 640.2838000000003, prediction: 496.3304443359375,real prediction : 627.5812999999999
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.1},current price: 649.0567, prediction: 589.611328125,real prediction : 567.175
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.2},current price: 583.41, prediction: 542.471923828125,real prediction : 607.1583
{'coin': 'bitcoin', 'test_num': 1, 'loss': 'mean_squared_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.3},current price: 328.5340000000001, prediction: 408.8398132324219,real prediction : 309.765
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.1},current price: 350.133, prediction: 490.7021484375,real prediction : 328.5340000000001
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.2},current price: 248.096, prediction: 398.285888671875,real prediction : 271.2882000000001
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.3},current price: 640.2838000000003, prediction: 525.9774169921875,real prediction : 627.5812999999999
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.1},current price: 439.3, prediction: 601.5991821289062,real prediction : 447.4933
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.2},current price: 630.0367, prediction: 423.9518127441406,real prediction : 594.6833
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.3},current price: 488.7717, prediction: 447.2445373535156,real prediction : 524.475
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.1},current price: 375.9887999999999, prediction: 404.1022644042969,real prediction : 387.3512999999999
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.2},current price: 365.7660000000001, prediction: 481.6963806152344,real prediction : 376.951
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 16, 'dropout': 0.3},current price: 593.3883000000002, prediction: 644.984375,real prediction : 591.2567
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.1},current price: 437.3633, prediction: 559.3277587890625,real prediction : 452.505
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.2},current price: 586.1482999999998, prediction: 627.9971313476562,real prediction : 561.4716999999999
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 20, 'batch_size': 32, 'dropout': 0.3},current price: 444.9968, prediction: 505.9272155761719,real prediction : 443.4734
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.1},current price: 347.0304940564094, prediction: 380.8837585449219,real prediction : 348.29
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.2},current price: 649.8983, prediction: 595.9591674804688,real prediction : 649.0567
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 16, 'dropout': 0.3},current price: 627.1288, prediction: 635.0308227539062,real prediction : 631.0025
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.1},current price: 607.1583, prediction: 608.9014892578125,real prediction : 593.3883000000002
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.2},current price: 341.2317, prediction: 376.29327392578125,real prediction : 363.4241291015933
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_absolute_error', 'epoch': 30, 'batch_size': 32, 'dropout': 0.3},current price: 227.2050999999999, prediction: 145.45843505859375,real prediction : 220.0922
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.1},current price: 579.5867, prediction: 524.8677978515625,real prediction : 594.8717000000001
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.2},current price: 199.49140000000003, prediction: 443.6729431152344,real prediction : 214.545
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 16, 'dropout': 0.3},current price: 618.9524999999999, prediction: 570.1162109375,real prediction : 622.8950000000001
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.1},current price: 309.765, prediction: 458.6598205566406,real prediction : 328.7740000000001
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.2},current price: 368.448, prediction: 445.3234558105469,real prediction : 374.9649999999999
{'coin': 'bitcoin', 'test_num': 2, 'loss': 'mean_squared_error', 'epoch': 10, 'batch_size': 32, 'dropout': 0.3},current price: 344.615, prediction: 524.9443969726562,real prediction : 318.828
